text,emotion,clean_text
I am so happy today!,happy,i am so happy today
Feeling joyful and excited, happy,feeling joyful and excited
What a wonderful day, happy,what a wonderful day
I love this beautiful weather, happy,i love this beautiful weather
I am smiling all day, happy,i am smiling all day
This is the best day ever, happy,this is the best day ever
I feel great and optimistic, happy,i feel great and optimistic
Today is full of sunshine, happy,today is full of sunshine
My heart is filled with happiness, happy,my heart is filled with happiness
Everything is going perfectly, happy,everything is going perfectly
I am really sad and down, sad,i am really sad and down
Feeling blue and lonely, sad,feeling blue and lonely
I miss my friends a lot, sad,i miss my friends a lot
Today is a gloomy day, sad,today is a gloomy day
I feel hopeless and tired, sad,i feel hopeless and tired
My heart hurts so much, sad,my heart hurts so much
I am crying silently, sad,i am crying silently
Nothing feels good anymore, sad,nothing feels good anymore
I feel broken inside, sad,i feel broken inside
Life feels so unfair, sad,life feels so unfair
I am so angry right now, angry,i am so angry right now
This is so frustrating, angry,this is so frustrating
Why does this always happen?, angry,why does this always happen
I can’t stand this anymore, angry,i cant stand this anymore
You’re making me mad, angry,youre making me mad
I am furious about the situation, angry,i am furious about the situation
This is unacceptable, angry,this is unacceptable
I feel like yelling, angry,i feel like yelling
Stop annoying me!, angry,stop annoying me
I am boiling with anger, angry,i am boiling with anger
I feel very frustrated today, frustrated,i feel very frustrated today
Everything is going wrong, frustrated,everything is going wrong
I can’t solve this problem, frustrated,i cant solve this problem
Why is nothing working out?, frustrated,why is nothing working out
I am overwhelmed with stress, frustrated,i am overwhelmed with stress
This is so irritating, frustrated,this is so irritating
I am fed up with this, frustrated,i am fed up with this
I want to give up, frustrated,i want to give up
Nothing makes sense right now, frustrated,nothing makes sense right now
I am stuck and frustrated, frustrated,i am stuck and frustrated
I am so happy today!,happy,i am so happy today
Feeling joyful and excited, happy,feeling joyful and excited
What a wonderful day, happy,what a wonderful day
I love this beautiful weather, happy,i love this beautiful weather
I am smiling all day, happy,i am smiling all day
This is the best day ever, happy,this is the best day ever
I feel great and optimistic, happy,i feel great and optimistic
Today is full of sunshine, happy,today is full of sunshine
My heart is filled with happiness, happy,my heart is filled with happiness
Everything is going perfectly, happy,everything is going perfectly
I am really sad and down, sad,i am really sad and down
Feeling blue and lonely, sad,feeling blue and lonely
I miss my friends a lot, sad,i miss my friends a lot
Today is a gloomy day, sad,today is a gloomy day
I feel hopeless and tired, sad,i feel hopeless and tired
My heart hurts so much, sad,my heart hurts so much
I am crying silently, sad,i am crying silently
Nothing feels good anymore, sad,nothing feels good anymore
I feel broken inside, sad,i feel broken inside
Life feels so unfair, sad,life feels so unfair
I am so angry right now, angry,i am so angry right now
This is so frustrating, angry,this is so frustrating
Why does this always happen?, angry,why does this always happen
I can’t stand this anymore, angry,i cant stand this anymore
You’re making me mad, angry,youre making me mad
I am furious about the situation, angry,i am furious about the situation
This is unacceptable, angry,this is unacceptable
I feel like yelling, angry,i feel like yelling
Stop annoying me!, angry,stop annoying me
I am boiling with anger, angry,i am boiling with anger
I feel very frustrated today, frustrated,i feel very frustrated today
Everything is going wrong, frustrated,everything is going wrong
I can’t solve this problem, frustrated,i cant solve this problem
Why is nothing working out?, frustrated,why is nothing working out
I am overwhelmed with stress, frustrated,i am overwhelmed with stress
This is so irritating, frustrated,this is so irritating
I am fed up with this, frustrated,i am fed up with this
I want to give up, frustrated,i want to give up
Nothing makes sense right now, frustrated,nothing makes sense right now
I am stuck and frustrated, frustrated,i am stuck and frustrated
